id	title	brand	link	price	description	image_link	gtin	availability	condition	product_type	product_category	item_group_id	custom_label_0	custom_label_1	custom_label_2
137426920-1-1603	Coravin Model Eight Wine System - Other	Coravin	http://www.totalwine.com/accessories/coravin-model-eight-wine-system/p/137426920-1?glia=true&s=1603	299.0	Access your favorite wines without pulling the cork with the Coravin. Pour and enjoy fine wine without disturbing the natural aging process or the pressure to commit to the whole bottle. Now you can explore your finest wines by the glass whenever you like.	http://www.totalwine.com/media/sys_master/twmmedia/h1d/heb/8800732053534.png	858976004641	in stock	new	Accessories & More > Accessories	2559	P64471	Shopping+US+MINN+ENG+SPART	NB	true
137426920-1-1702	Coravin Model Eight Wine System - Other	Coravin	http://www.totalwine.com/accessories/coravin-model-eight-wine-system/p/137426920-1?glia=true&s=1702	299.0	Access your favorite wines without pulling the cork with the Coravin. Pour and enjoy fine wine without disturbing the natural aging process or the pressure to commit to the whole bottle. Now you can explore your finest wines by the glass whenever you like.	http://www.totalwine.com/media/sys_master/twmmedia/h1d/heb/8800732053534.png	858976004641	in stock	new	Accessories & More > Accessories	2559	P64471	Shopping+US+MASS+ENG+SPART	NB	true
137426920-1-203	Coravin Model Eight Wine System - Other	Coravin	http://www.totalwine.com/accessories/coravin-model-eight-wine-system/p/137426920-1?glia=true&s=203	299.0	Access your favorite wines without pulling the cork with the Coravin. Pour and enjoy fine wine without disturbing the natural aging process or the pressure to commit to the whole bottle. Now you can explore your finest wines by the glass whenever you like.	http://www.totalwine.com/media/sys_master/twmmedia/h1d/heb/8800732053534.png	858976004641	in stock	new	Accessories & More > Accessories	2559	P64471	Shopping+US+VIRG+ENG+SPART	NB	true
137426920-1-303	Coravin Model Eight Wine System - Other	Coravin	http://www.totalwine.com/accessories/coravin-model-eight-wine-system/p/137426920-1?glia=true&s=303	299.0	Access your favorite wines without pulling the cork with the Coravin. Pour and enjoy fine wine without disturbing the natural aging process or the pressure to commit to the whole bottle. Now you can explore your finest wines by the glass whenever you like.	http://www.totalwine.com/media/sys_master/twmmedia/h1d/heb/8800732053534.png	858976004641	in stock	new	Accessories & More > Accessories	2559	P64471	Shopping+US+NEW +ENG+SPART	NB	true
137426920-1-920	Coravin Model Eight Wine System - Other	Coravin	http://www.totalwine.com/accessories/coravin-model-eight-wine-system/p/137426920-1?glia=true&s=920	299.0	Access your favorite wines without pulling the cork with the Coravin. Pour and enjoy fine wine without disturbing the natural aging process or the pressure to commit to the whole bottle. Now you can explore your finest wines by the glass whenever you like.	http://www.totalwine.com/media/sys_master/twmmedia/h1d/heb/8800732053534.png	858976004641	in stock	new	Accessories & More > Accessories	2559	P64471	Shopping+US+FLOR+ENG+SPART	NB	true
137473920-1-1006	Coravin Argon Capsule Refills - Other	Coravin	http://www.totalwine.com/accessories/coravin-argon-capsule-refills/p/137473920-1?glia=true&s=1006	17.99	Specifically designed for the Coravin System, each pressurized Coravin Capsule contains argon, a naturally occurring inert gas that winemakers have been using for years to protect their fine wines. Each capsule allows you to access up to 15 glasses of wine.	http://www.totalwine.com/media/sys_master/twmmedia/hba/h8c/9844966916126.png	858976004023	in stock	new	Accessories & More > Accessories	2559	P65249	Shopping+US+ARIZ+ENG+SPART	NB	true
137473920-1-1108	Coravin Argon Capsule Refills - Other	Coravin	http://www.totalwine.com/accessories/coravin-argon-capsule-refills/p/137473920-1?glia=true&s=1108	17.99	Specifically designed for the Coravin System, each pressurized Coravin Capsule contains argon, a naturally occurring inert gas that winemakers have been using for years to protect their fine wines. Each capsule allows you to access up to 15 glasses of wine.	http://www.totalwine.com/media/sys_master/twmmedia/hba/h8c/9844966916126.png	858976004023	in stock	new	Accessories & More > Accessories	2559	P65249	Shopping+US+CALI+ENG+SPART	NB	true
137473920-1-1401	Coravin Argon Capsule Refills - Other	Coravin	http://www.totalwine.com/accessories/coravin-argon-capsule-refills/p/137473920-1?glia=true&s=1401	17.99	Specifically designed for the Coravin System, each pressurized Coravin Capsule contains argon, a naturally occurring inert gas that winemakers have been using for years to protect their fine wines. Each capsule allows you to access up to 15 glasses of wine.	http://www.totalwine.com/media/sys_master/twmmedia/hba/h8c/9844966916126.png	858976004023	in stock	new	Accessories & More > Accessories	2559	P65249	Shopping+US+WASH+ENG+SPART	NB	true
137473920-1-1603	Coravin Argon Capsule Refills - Other	Coravin	http://www.totalwine.com/accessories/coravin-argon-capsule-refills/p/137473920-1?glia=true&s=1603	17.99	Specifically designed for the Coravin System, each pressurized Coravin Capsule contains argon, a naturally occurring inert gas that winemakers have been using for years to protect their fine wines. Each capsule allows you to access up to 15 glasses of wine.	http://www.totalwine.com/media/sys_master/twmmedia/hba/h8c/9844966916126.png	858976004023	in stock	new	Accessories & More > Accessories	2559	P65249	Shopping+US+MINN+ENG+SPART	NB	true
137473920-1-1702	Coravin Argon Capsule Refills - Other	Coravin	http://www.totalwine.com/accessories/coravin-argon-capsule-refills/p/137473920-1?glia=true&s=1702	17.99	Specifically designed for the Coravin System, each pressurized Coravin Capsule contains argon, a naturally occurring inert gas that winemakers have been using for years to protect their fine wines. Each capsule allows you to access up to 15 glasses of wine.	http://www.totalwine.com/media/sys_master/twmmedia/hba/h8c/9844966916126.png	858976004023	in stock	new	Accessories & More > Accessories	2559	P65249	Shopping+US+MASS+ENG+SPART	NB	true
